Skill,Pot,Rank,Player,Age,Team,Transfer_Value
92.8,100.0,1,Erling Haaland,24,Man City,198.8
82.5,100.0,2,Lamine Yamal,17,Barcelona,173.2
85.0,97.3,3,Pedri,22,Barcelona,144.6
89.3,94.0,4,Kylian Mbappé,26,Real Madrid,143.1
89.4,100.0,5,Jamal Musiala,22,Bayern,139.8
83.1,97.8,6,Jude Bellingham,21,Real Madrid,137.8
89.2,92.9,7,Martin Ødegaard,26,Arsenal,126.5
72.5,100.0,8,Pau Cubarsí,18,Barcelona,120.4
82.0,84.9,9,Alexander Isak,25,Newcastle Utd.,120.3
81.7,89.2,10,Vinícius Júnior,24,Real Madrid,116.5
86.5,98.8,11,Florian Wirtz,22,Bayer 04,116.4
80.1,92.5,12,Cole Palmer,23,Chelsea,115.4
82.2,86.6,13,Federico Valverde,26,Real Madrid,112.2
83.8,86.7,14,Lautaro Martínez,27,Inter,110.3
83.7,86.6,15,Declan Rice,26,Arsenal,107.8
82.2,90.0,16,Rodrygo,24,Real Madrid,106.9
85.5,88.9,17,Alexis Mac Allister,26,Liverpool,106.1
86.0,86.0,18,Harry Kane,31,Bayern,105.8
86.5,93.6,19,Phil Foden,24,Man City,105.7
85.6,92.0,20,Julián Álvarez,25,Atlético,104.7
87.2,96.9,21,Bukayo Saka,23,Arsenal,101.3
88.2,88.9,22,Rodri,28,Man City,87.0
86.8,98.3,23,Ryan Gravenberch,22,Liverpool,85.3
84.3,97.2,24,Eduardo Camavinga,22,Real Madrid,84.5
78.0,85.0,25,Aurélien Tchouaméni,25,Real Madrid,84.5
83.6,89.3,26,Alessandro Bastoni,26,Inter,84.0
80.9,82.6,27,Bruno Guimarães,27,Newcastle Utd.,83.2
82.3,96.1,28,Gavi,20,Barcelona,80.8
81.1,91.9,29,Moisés Caicedo,23,Chelsea,80.7
85.0,86.5,30,Nicolò Barella,28,Inter,80.7
88.9,96.7,31,William Saliba,24,Arsenal,79.5
77.1,79.4,32,Omar Marmoush,26,Man City,79.1
79.4,91.0,33,Joško Gvardiol,23,Man City,78.7
81.6,81.6,34,Raphinha,28,Barcelona,77.1
77.4,88.3,35,Nico Williams,22,Athletic,76.7
73.7,86.6,36,Désiré Doué,19,PSG,76.5
84.8,86.5,37,Gabriel Magalhães,27,Arsenal,75.5
80.9,89.8,38,Michael Olise,23,Bayern,75.4
79.3,92.2,39,Xavi Simons,22,RB Leipzig,75.4
81.2,85.8,40,Rafael Leão,25,Milan,75.0
74.3,75.9,41,Viktor Gyökeres,26,Sporting CP,75.0
77.8,91.6,42,Sávio,21,Man City,74.8
77.0,82.5,43,Khvicha Kvaratskhelia,24,PSG,74.6
60.3,80.3,44,Ethan Nwaneri,18,Arsenal,74.3
75.1,82.7,45,Enzo Fernández,24,Chelsea,73.7
76.7,83.8,46,Bradley Barcola,22,PSG,71.7
86.9,93.8,47,Dominik Szoboszlai,24,Liverpool,71.4
76.4,84.3,48,Brennan Johnson,23,Tottenham,71.3
76.0,78.0,49,Lucas Paquetá,27,West Ham United,71.2
70.5,88.1,50,Leny Yoro,19,Man Utd,71.0
86.5,86.5,51,Luis Díaz,28,Liverpool,71.0
85.1,89.1,52,Kai Havertz,25,Arsenal,70.5
64.4,79.9,53,Samu Aghehowa,21,Porto,70.4
68.3,86.0,54,Joao Neves,20,PSG,70.4
73.3,93.9,55,Warren Zaïre-Emery,19,PSG,69.6
63.8,78.8,56,Aleksandar Pavlović,21,Bayern,69.3
69.2,78.4,57,Morgan Rogers,23,Aston Villa,69.0
73.9,85.8,58,Murillo,22,Nottingham,68.4
76.2,91.0,59,Jamie Bynoe-Gittens,20,Dortmund,68.3
85.2,85.2,60,Ousmane Dembélé,27,PSG,67.6
86.3,89.3,61,Cody Gakpo,26,Liverpool,67.5
73.8,85.4,62,Benjamin Šeško,21,RB Leipzig,66.9
73.9,77.8,63,Victor Osimhen,26,Galatasaray,66.5
81.5,91.3,64,Nicolas Jackson,23,Chelsea,66.2
80.1,89.3,65,Jérémy Doku,22,Man City,66.2
68.8,87.2,66,Kobbie Mainoo,20,Man Utd,66.0
78.9,92.9,67,Alejandro Balde,21,Barcelona,66.0
75.2,84.6,68,Jurrien Timber,23,Arsenal,65.5
81.5,82.6,69,Marcus Thuram,27,Inter,65.4
78.6,82.7,70,Achraf Hakimi,26,PSG,64.1
75.0,88.9,71,Rico Lewis,20,Man City,62.7
80.9,83.2,72,Matheus Cunha,25,Wolverhampton,62.6
87.7,96.4,73,Gabriel Martinelli,23,Arsenal,62.6
77.7,88.0,74,Nuno Mendes,22,PSG,62.4
74.9,75.8,75,Eberechi Eze,26,C. Palace,62.2
68.7,76.0,76,Amadou Onana,23,Aston Villa,62.1
71.1,79.1,77,Micky van de Ven,24,Tottenham,61.8
73.1,79.0,78,Mohammed Kudus,24,West Ham United,61.7
77.1,80.0,79,Morgan Gibbs-White,25,Nottingham,61.7
77.9,84.0,80,Curtis Jones,24,Liverpool,61.7
75.7,91.1,81,Miloš Kerkez,21,B'mouth,61.5
80.4,80.9,82,Ollie Watkins,29,Aston Villa,61.4
71.0,78.5,83,João Pedro,23,Brighton,61.3
80.5,84.1,84,Darwin Núñez,25,Liverpool,60.9
70.9,87.1,85,Alejandro Garnacho,20,Man Utd,60.7
70.6,75.9,86,Pedro Neto,25,Chelsea,60.6
86.7,91.7,87,Dejan Kulusevski,25,Tottenham,60.5
77.4,86.0,88,Piero Hincapié,23,Bayer 04,60.5
72.5,79.6,89,Manuel Ugarte,24,Man Utd,60.4
72.6,74.8,90,Cristian Romero,27,Tottenham,60.1
78.1,82.5,91,Éderson,25,Atalanta,60.0
81.0,88.5,92,Charles De Ketelaere,24,Atalanta,59.9
77.8,83.8,93,Loïs Openda,25,RB Leipzig,59.7
78.5,90.3,94,Destiny Udogie,22,Tottenham,59.4
79.5,83.8,95,Vitinha,25,PSG,58.9
83.1,84.9,96,Ben White,27,Arsenal,58.8
75.3,88.1,97,Illia Zabarnyi,22,B'mouth,58.8
83.2,83.6,98,Diogo Jota,28,Liverpool,58.6
86.4,86.4,99,Rúben Dias,27,Man City,58.5
73.6,75.6,100,Ademola Lookman,27,Atalanta,58.3
71.0,89.0,101,Archie Gray,19,Tottenham,58.2
81.2,81.2,102,James Maddison,28,Tottenham,58.1
81.7,85.0,103,Jules Koundé,26,Barcelona,57.9
80.9,88.7,104,Alphonso Davies,24,Bayern,57.7
75.9,85.3,105,Hugo Ekitiké,22,E. Frankfurt,57.7
81.4,85.4,106,Ibrahima Konaté,25,Liverpool,57.2
81.2,85.9,107,Bryan Mbeumo,25,Brentford,57.2
72.9,78.1,108,Martín Zubimendi,26,Real Sociedad,57.1
76.7,87.8,109,Castello Lukeba,22,RB Leipzig,57.0
77.6,81.5,110,Oihan Sancet,25,Athletic,56.6
78.1,91.4,111,Levi Colwill,22,Chelsea,56.6
72.8,86.6,112,Pablo Barrios,21,Atlético,56.6
67.5,80.9,113,Mathys Tel,20,Tottenham,56.4
75.3,82.4,114,Alejandro Baena,23,Villarreal,56.3
74.6,79.7,115,Pedro Porro,25,Tottenham,55.9
85.3,87.4,116,Trent Alexander-Arnold,26,Liverpool,55.8
73.1,75.7,117,Tijjani Reijnders,26,Milan,55.6
78.1,79.1,118,Federico Dimarco,27,Inter,55.4
73.7,75.3,119,Ronald Araújo,26,Barcelona,55.4
79.3,93.0,120,Giorgio Scalvini,21,Atalanta,55.3
80.0,86.0,121,Jeremie Frimpong,24,Bayer 04,55.0
65.2,82.3,122,Dean Huijsen,20,B'mouth,55.0
77.1,87.8,123,Rasmus Winther Højlund,22,Man Utd,54.9
79.8,79.9,124,Bruno Fernandes,30,Man Utd,54.8
81.7,82.8,125,Dani Olmo,27,Barcelona,54.8
67.3,77.6,126,Roméo Lavia,21,Chelsea,54.6
81.4,84.7,127,Christian Pulišić,26,Milan,54.4
79.0,83.7,128,Marc Guéhi,24,C. Palace,54.2
58.2,81.9,129,Geovany Quenda,18,Sporting CP,53.6
79.1,79.2,130,Marcus Rashford,27,Aston Villa,53.6
81.3,81.3,131,Bremer,28,Juventus,53.2
79.4,80.3,132,Joshua Kimmich,30,Bayern,53.2
78.0,82.3,133,Sandro Tonali,24,Newcastle Utd.,52.9
70.1,87.4,134,Kenan Yıldız,20,Juventus,52.9
73.2,77.6,135,Sven Botman,25,Newcastle Utd.,52.7
70.4,84.6,136,Arda Güler,20,Real Madrid,52.5
73.7,87.5,137,Carlos Baleba,21,Brighton,52.4
75.6,82.9,138,Matthijs de Ligt,25,Man Utd,52.2
79.5,80.2,139,Dominic Solanke,27,Tottenham,52.1
79.1,81.0,140,Christopher Nkunku,27,Chelsea,51.7
76.1,86.4,141,Noni Madueke,23,Chelsea,51.6
71.4,77.2,142,João Gomes,24,Wolverhampton,51.1
70.5,80.6,143,Pape Matar Sarr,22,Tottenham,50.8
80.2,80.2,144,Kaoru Mitoma,27,Brighton,50.6
74.1,83.7,145,William Pacho,23,PSG,50.3
86.7,87.8,146,Bernardo Silva,30,Man City,50.0
80.7,86.9,147,Anthony Gordon,24,Newcastle Utd.,49.5
73.6,84.3,148,Valentino Livramento,22,Newcastle Utd.,49.3
73.1,80.7,149,Riccardo Calafiori,22,Arsenal,49.3
73.0,74.5,150,Lisandro Martínez,27,Man Utd,49.2
68.1,81.3,151,Adam Wharton,21,C. Palace,48.9
77.0,77.9,152,Min-jae Kim,28,Bayern,48.6
67.3,82.0,153,Evan Ferguson,20,West Ham United,48.5
75.7,86.7,154,Harvey Elliott,22,Liverpool,48.5
69.4,76.9,155,Amad Diallo,22,Man Utd,48.5
71.6,78.1,156,Nico González,23,Man City,48.4
66.9,76.9,157,Abdukodir Khusanov,21,Man City,48.4
73.5,75.3,158,Jarrod Bowen,28,West Ham United,48.1
74.1,79.3,159,Antoine Semenyo,25,B'mouth,47.7
76.6,80.3,160,Dayot Upamecano,26,Bayern,47.6
77.0,77.0,161,Joelinton,28,Newcastle Utd.,47.5
60.3,80.6,162,Endrick,18,Real Madrid,46.8
72.4,82.6,163,Angelo Stiller,24,VfB Stuttgart,46.7
65.0,81.1,164,Ousmane Diomande,21,Sporting CP,46.7
79.6,89.8,165,Elliot Anderson,22,Nottingham,46.5
77.9,78.7,166,Antonee Robinson,27,Fulham,46.4
78.9,82.6,167,Boubacar Kamara,25,Aston Villa,46.3
61.1,94.2,168,Jorrel Hato,19,Ajax,46.3
71.5,81.1,169,Gonçalo Inácio,23,Sporting CP,46.1
78.8,85.9,170,Jacob Ramsey,23,Aston Villa,45.8
89.5,89.5,171,Gabriel Jesus,28,Arsenal,45.6
75.0,82.6,172,Anthony Elanga,23,Nottingham,45.5
75.6,77.2,173,Pau Torres,28,Aston Villa,45.3
72.9,76.9,174,Gonçalo Ramos,23,PSG,45.0
70.5,77.7,175,Rayan Aït Nouri,23,Wolverhampton,45.0
79.3,81.7,176,Justin Kluivert,26,B'mouth,44.8
77.4,86.1,177,Mason Greenwood,23,Marseille,44.6
78.6,82.5,178,Brahim Díaz,25,Real Madrid,44.3
68.7,82.7,179,Santiago Castro,20,Bologna,44.1
74.6,74.8,180,Serhou Guirassy,29,Dortmund,43.8
58.7,74.1,181,Nico Paz,20,Como,43.8
73.5,80.1,182,Joshua Zirkzee,23,Man Utd,43.7
79.9,83.2,183,Daniel Vivian,25,Athletic,43.7
73.6,83.7,184,Enzo Millot,22,VfB Stuttgart,43.6
68.5,72.6,185,Morten Hjulmand,25,Sporting CP,43.6
83.0,83.0,186,Jack Grealish,29,Man City,43.5
71.6,75.8,187,Gregor Kobel,27,Dortmund,43.3
79.9,86.4,188,Victor Okoh Boniface,24,Bayer 04,43.1
76.6,77.4,189,Noussair Mazraoui,27,Man Utd,43.0
79.9,82.7,190,Manuel Akanji,29,Man City,42.8
75.5,78.8,191,Edmond Tapsoba,26,Bayer 04,42.7
75.9,76.1,192,Ezri Konsa,27,Aston Villa,42.7
73.7,79.2,193,Nico Schlotterbeck,25,Dortmund,42.6
74.0,85.6,194,Yankuba Minteh,20,Brighton,42.6
69.3,79.5,195,Takefusa Kubo,23,Real Sociedad,42.5
79.2,81.4,196,Teun Koopmeiners,27,Juventus,42.5
72.3,78.6,197,Jan Paul van Hecke,24,Brighton,42.4
69.6,76.8,198,Diogo Costa,25,Porto,42.4
71.6,72.7,199,Matheus Nunes,26,Man City,42.3
80.7,80.7,200,Alejandro Grimaldo,29,Bayer 04,42.0
70.2,73.2,201,Mateo Retegui,26,Atalanta,41.7
72.3,72.3,202,Guglielmo Vicario,28,Tottenham,41.6
79.1,79.9,203,Youri Tielemans,28,Aston Villa,41.5
78.2,78.6,204,Harvey Barnes,27,Newcastle Utd.,41.5
74.5,81.4,205,Karim Adeyemi,23,Dortmund,41.5
71.6,78.7,206,Khéphren Thuram,24,Juventus,41.5
58.6,77.4,207,Vitor Reis,19,Man City,41.4
72.1,79.0,208,Georginio Rutter,23,Brighton,41.3
80.0,86.0,209,Conor Gallagher,25,Atlético,41.2
74.5,80.0,210,Andrea Cambiaso,25,Juventus,41.1
77.2,80.2,211,Éder Militão,27,Real Madrid,41.1
69.4,75.7,212,Maghnes Akliouche,23,Monaco,41.0
71.2,79.8,213,Alan Varela,23,Porto,40.9
67.3,76.8,214,Francisco Conceição,22,Juventus,40.9
84.8,84.8,215,Kingsley Coman,28,Bayern,40.9
75.7,80.3,216,Emile Smith Rowe,24,Fulham,40.8
76.2,78.6,217,Exequiel Palacios,26,Bayer 04,40.7
76.1,84.5,218,Ian Maatsen,23,Aston Villa,40.6
64.6,79.6,219,Bilal El Khannouss,20,Leicester,40.6
70.5,71.4,220,Mikel Oyarzabal,28,Real Sociedad,40.5
74.6,74.6,221,Mikel Merino,28,Arsenal,40.5
75.7,80.3,222,Dušan Vlahović,25,Juventus,40.4
74.3,78.0,223,Moise Kean,25,Fiorentina,40.4
75.6,75.9,224,Marquinhos,30,PSG,40.3
71.5,77.3,225,Kouadio Koné,23,Roma,40.2
74.4,75.8,226,Douglas Luiz,26,Juventus,40.2
78.1,78.9,227,Robin Le Normand,28,Atlético,40.1
75.6,79.7,228,Mattéo Guendouzi,26,Lazio,39.9
77.4,77.4,229,Scott McTominay,28,Napoli,39.7
73.9,74.3,230,João Palhinha,29,Bayern,39.6
75.7,78.7,231,Marc Cucurella,26,Chelsea,39.4
70.2,75.5,232,Santiago Giménez,24,Milan,39.2
76.2,77.5,233,Leon Bailey,27,Aston Villa,39.2
72.9,77.2,234,Jonathan Burkardt,24,Mainz 05,39.1
75.1,87.1,235,Johan Bakayoko,22,PSV,39.1
61.9,84.1,236,Ayyoub Bouaddi,17,Lille,38.7
86.6,86.6,237,Mohamed Salah,32,Liverpool,38.5
61.7,71.7,238,Tomás Araújo,22,Benfica,38.5
77.4,77.8,239,Hakan Çalhanoğlu,31,Inter,38.1
78.2,80.3,240,Nikola Milenković,27,Nottingham,38.0
73.6,79.9,241,Mykhaylo Mudryk,24,Chelsea,37.8
78.9,85.6,242,Jadon Sancho,25,Chelsea,37.7
73.1,77.0,243,Diogo Dalot,26,Man Utd,37.4
75.8,85.4,244,Lucas Chevalier,23,Lille,37.4
71.0,75.3,245,Ferdi Kadıoğlu,25,Brighton,37.4
71.1,75.1,246,Reece James,25,Chelsea,37.3
65.9,72.2,247,Dávid Hancko,27,Feyenoord,37.3
71.3,81.0,248,Rayan Cherki,21,Lyon,37.2
79.7,79.7,249,Frenkie de Jong,27,Barcelona,37.2
73.5,76.5,250,Cheick Doucouré,25,C. Palace,37.2
73.5,76.9,276,André Onana,29,Man Utd,34.2
74.5,79.8,277,Kang-in Lee,24,PSG,34.1
73.1,77.9,278,Giorgi Mamardashvili,24,Valencia,34.1
67.6,75.0,279,Simon Adingra,23,Brighton,34.0
58.8,66.9,280,Raúl Asencio,22,Real Madrid,34.0
73.6,80.4,281,Samuele Ricci,23,Torino,33.8
75.7,79.2,282,Youssouf Fofana,26,Milan,33.8
73.3,77.7,283,Loïc Badé,25,Sevilla,33.6
75.7,77.8,284,Vitaliy Mykolenko,25,Everton,33.5
72.6,75.4,285,Hiroki Ito,25,Bayern,33.4
74.8,76.4,286,Pedro Gonçalves,26,Sporting CP,33.4
63.3,74.9,287,Álvaro Carreras,22,Benfica,33.3
74.2,80.2,288,Nathan Collins,24,Brentford,33.3
78.7,82.4,289,Ferran Torres,25,Barcelona,33.2
66.9,72.9,290,Yann Bisseck,24,Inter,33.1
74.9,78.0,291,Randal Kolo Muani,26,Juventus,33.0
75.5,77.2,292,Artem Dovbyk,27,Roma,33.0
74.9,74.9,293,Matty Cash,27,Aston Villa,32.9
75.6,88.2,294,Malo Gusto,21,Chelsea,32.8
74.0,74.0,295,Lucas Hernández,29,PSG,32.7
53.3,81.5,296,Tyler Dibling,19,Southampton,32.7
67.0,83.0,297,Lucas Bergvall,19,Tottenham,32.6
70.3,70.3,298,Denis Zakaria,28,Monaco,32.3
77.2,85.6,299,Jarrad Branthwaite,22,Everton,32.2
77.1,77.7,300,Benjamin Pavard,29,Inter,32.1
75.0,75.0,301,David Neres,28,Napoli,32.0
79.3,81.7,302,Manuel Locatelli,27,Juventus,31.9
79.5,79.5,303,Leandro Trossard,30,Arsenal,31.8
74.8,74.8,304,Jean-Philippe Mateta,27,C. Palace,31.7
70.1,77.7,305,Orkun Kökçü,24,Benfica,31.7
79.4,79.4,306,Fabián Ruiz,29,PSG,31.7
63.7,67.4,307,Josip Stanišić,25,Bayern,31.6
74.3,75.0,308,Rodrigo Bentancur,27,Tottenham,31.5
74.1,88.3,309,Eliesse Ben Seghir,20,Monaco,31.5
64.8,81.6,310,Patrick Dorgu,20,Man Utd,31.5
78.6,78.6,311,Joachim Andersen,28,Fulham,31.4
68.4,73.6,312,Mario Gila Fuentes,24,Lazio,31.4
76.7,76.7,313,Yoane Wissa,28,Brentford,31.4
